date_of_sale,address,county,eircode,price,not_full_market_price,vat_exclusive,description,property_size_description,year,quarter,eircode_routing_key,log_price,price_outlier
2021-03-09,"13 CLOONLARA SQ, PHOENIX PARK AVE, PHOENIX PARK RACECOURSE DUBLIN 15",Dublin,,375000.0,False,False,Second-Hand Dwelling house /Apartment,,2021,2021Q1,,12.834683971615659,False
2016-04-13,"35 CLUAIN CROIBH, KINNEGAD, WESTMEATH",Westmeath,,128000.0,False,False,Second-Hand Dwelling house /Apartment,,2016,2016Q2,,11.759793355371237,False
2010-03-18,"kilfithmone, Borrisoleigh, thurles",Tipperary,,40000.0,False,False,Second-Hand Dwelling house /Apartment,,2010,2010Q1,,10.596659732783579,False
2025-10-15,"17 RAHEEN PARK, BRAY, WICKLOW",Wicklow,A98N6T8,500000.0,True,False,Second-Hand Dwelling house /Apartment,,2025,2025Q4,A98,13.122365377402328,False
2024-08-21,"29 AFTON DR, DUNDALK, LOUTH",Louth,A91Y8N8,250000.0,True,False,Second-Hand Dwelling house /Apartment,,2024,2024Q3,A91,12.429220196836383,False
2022-12-22,"FAIRGREEN, CAHERCIVEEN, CO KERRY",Kerry,,100000.0,False,False,Second-Hand Dwelling house /Apartment,,2022,2022Q4,,11.51293546492023,False
2017-01-19,"CLONEA RD, ABBEYSIDE, DUNGARVAN",Waterford,,335000.0,False,False,Second-Hand Dwelling house /Apartment,,2017,2017Q1,,12.721888795877375,False
2019-12-06,"137 RIVER VILLAGE, OLD TUAM RD, ATHLONE",Roscommon,,167000.0,False,False,Second-Hand Dwelling house /Apartment,,2019,2019Q4,,12.025755079404917,False
2018-11-19,"BALLINAMONA, CAHIR, TIPPERARY",Tipperary,,153000.0,False,False,Second-Hand Dwelling house /Apartment,,2018,2018Q4,,11.938199736300925,False
2014-07-22,"APT 2, 21 FREDERICK ST NORTH, DUBLIN 1",Dublin,,43000.0,True,False,Second-Hand Dwelling house /Apartment,,2014,2014Q3,,10.668978650219241,False
2023-10-27,"TURTULLA, THURLES, TIPPERARY",Tipperary,E41YT38,277500.0,False,False,Second-Hand Dwelling house /Apartment,,2023,2023Q4,E41,12.533579815765737,False
2021-09-30,"79 BAILY POINT, SALTHILL, CO. GALWAY",Galway,,260000.0,False,False,Second-Hand Dwelling house /Apartment,,2021,2021Q3,,12.468440756144114,False
2017-07-26,"TRAMMON, RATHMOYLON, MEATH",Meath,,200000.0,True,False,Second-Hand Dwelling house /Apartment,,2017,2017Q3,,12.206077645517674,False
2017-11-09,"1 RAVENSWOOD DR, CASTAHEANY, DUBLIN 15",Dublin,,364000.0,False,False,Second-Hand Dwelling house /Apartment,,2017,2017Q4,,12.804911893867851,False
2019-09-26,"2 ABBEYVILLE, ROSCOMMON",Roscommon,,225000.0,False,False,Second-Hand Dwelling house /Apartment,,2019,2019Q3,,12.323860125621126,False
2019-08-02,"71 TOURNORE PARK, ABBEYSIDE, DUNGARVAN",Waterford,,335000.0,False,False,Second-Hand Dwelling house /Apartment,,2019,2019Q3,,12.721888795877375,False
2015-07-03,"57 GRIFFITH PARADE, FINGLAS EAST, DUBLIN 11",Dublin,,295000.0,False,False,Second-Hand Dwelling house /Apartment,,2015,2015Q3,,12.59473402514672,False
2021-03-05,"7 NEWBERRY GROVE, DROMAHANE, CORK",Cork,,177500.0,False,False,Second-Hand Dwelling house /Apartment,,2021,2021Q1,,12.086731521684555,False
2022-08-17,"90 ARD CONNELL, ARDARA, DONEGAL",Donegal,F94PNT6,40000.0,False,False,Second-Hand Dwelling house /Apartment,,2022,2022Q3,F94,10.596659732783579,False
2022-05-06,"BALLYCRADDOCK, DUNHILL, WATERFORD",Waterford,,445000.0,False,False,Second-Hand Dwelling house /Apartment,,2022,2022Q2,,13.005831808336863,False
2019-10-18,"MAGHERA COTTAGE, MASSINASS, CREESLOUGH",Donegal,,79000.0,False,False,Second-Hand Dwelling house /Apartment,,2019,2019Q4,,11.277215789596893,False
2017-07-14,"1 Carlinn Avenue, Mullaharlin Road, Dundalk",Louth,,184604.0,False,True,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,2017,2017Q3,,12.125973686274547,False
2025-01-10,"ANNAHOLTY, BIRDHILL, TIPPERARY",Tipperary,V94T62P,470000.0,False,False,Second-Hand Dwelling house /Apartment,,2025,2025Q1,V94,13.060490101343552,False
2020-10-09,"22 SHEAS COURT, MANOR ST, DUBLIN 7",Dublin,,400000.0,False,False,Second-Hand Dwelling house /Apartment,,2020,2020Q4,,12.899222326086994,False
2016-02-17,"1-10 St. James Wood, Stradbally, Co. Waterford",Waterford,,850000.0,False,True,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,2016,2016Q1,,13.652992804936396,False
2022-07-18,"42 CASTLEGROVE EAST, CASTLEBAR, CO MAYO",Mayo,F23PF82,149500.0,False,False,Second-Hand Dwelling house /Apartment,,2022,2022Q3,F23,11.915058360753719,False
2024-11-14,"MONEEN, MOATE, WESTMEATH",Westmeath,N37DE40,50000.0,False,False,Second-Hand Dwelling house /Apartment,,2024,2024Q4,N37,10.819798284210286,False
2024-11-28,"41 Balleally Rise, Hands Lane, Lusk",Dublin,,343612.33,True,True,New Dwelling house /Apartment,,2024,2024Q4,,12.74727226345032,False
2022-03-31,"3 THE SYCAMORE, CLONSHAUGH WOODS DUB, DUBLIN 17",Dublin,D17TV04,245000.0,False,False,Second-Hand Dwelling house /Apartment,,2022,2022Q1,D17,12.409017571151187,False
2024-08-20,"54 ARDCOLLUM AVENUE, ARTANE, DUBLIN 5",Dublin,D05A3A4,685500.0,False,False,Second-Hand Dwelling house /Apartment,,2024,2024Q3,D05,13.437905236772647,False
2022-08-05,"10 ROS CLOCHAR, BALLINROBE, MAYO",Mayo,F31X660,290000.0,False,False,Second-Hand Dwelling house /Apartment,,2022,2022Q3,F31,12.577639650232573,False
2011-08-30,"MUINGANEAR, KNOCKNAGOSHEL",Kerry,,38500.0,True,False,Second-Hand Dwelling house /Apartment,,2011,2011Q3,,10.55843949396453,False
2019-02-22,"INNISFREE, SCHOLARSTOWN ROAD, RATHFARNHAM",Dublin,,750000.0,False,False,Second-Hand Dwelling house /Apartment,,2019,2019Q1,,13.527829818844937,False
2019-07-02,"15 THE GLEBE, CITYQUARTER, ATHLONE",Westmeath,,117293.55,False,False,Second-Hand Dwelling house /Apartment,,2019,2019Q3,,11.672443571499086,False
2014-10-14,"175 Leargan, Ballymoneen West, Galway",Galway,,123695.0,False,True,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,2014,2014Q4,,11.725582221560256,False
2021-07-22,"43 Station Road, Barnwell Park, Hansfield",Dublin,,303964.0,False,True,New Dwelling house /Apartment,,2021,2021Q3,,12.624667842181262,False
2018-03-15,"2 BIRCHGROVE EST, KILLINEY, DUN LAOGHAIRE",Dublin,,395000.0,False,False,Second-Hand Dwelling house /Apartment,,2018,2018Q1,,12.886643575525625,False
2018-09-12,"13 WOODSTOWN DALE, KNOCKLYON, DUBLIN 16",Dublin,,435000.0,False,False,Second-Hand Dwelling house /Apartment,,2018,2018Q3,,12.983103608918753,False
2024-11-14,"BAKERS CROSS, TINNOCK, GOREY",Wexford,,260000.0,False,False,Second-Hand Dwelling house /Apartment,,2024,2024Q4,,12.468440756144114,False
2012-08-02,"23 Foxhill Drive, Baldoyle, Dublin 13",Dublin,,190000.0,False,False,Second-Hand Dwelling house /Apartment,,2012,2012Q3,,12.154784614286667,False
2012-10-05,"23  The Rise, Skerries",Dublin,,210000.0,False,False,Second-Hand Dwelling house /Apartment,,2012,2012Q4,,12.25486757159303,False
2022-04-26,"IVY HOUSE, GARRISTOWN, CO DUBLIN",Dublin,A42PP30,400000.0,False,False,Second-Hand Dwelling house /Apartment,,2022,2022Q2,A42,12.899222326086994,False
2014-12-22,"5 CLUAIN RIOCAIRD, HEADFORD ROAD",Galway,,108500.0,False,False,Second-Hand Dwelling house /Apartment,,2014,2014Q4,,11.59451466851004,False
2021-09-22,"5 Steeplewoods, Off Model Farm Road, Carrigrohane",Cork,T12CXP6,392069.0,False,True,New Dwelling house /Apartment,,2021,2021Q3,T12,12.879195674259192,False
2024-10-30,"55 DUNBEAG, NEWPORT ROAD, CASTLEBAR",Mayo,F23D762,218000.0,False,False,Second-Hand Dwelling house /Apartment,,2024,2024Q4,F23,12.292254928916668,False
2023-12-11,"32 CNOC AN IUIR, DRUMSHANBO, LEITRIM",Leitrim,N41CF66,260000.0,False,False,Second-Hand Dwelling house /Apartment,,2023,2023Q4,N41,12.468440756144114,False
2023-08-24,"UNIT 2E RATHBORNE DR, EARLSWOOD, ASHTOWN DUBLIN 15",Dublin,D15HC80,264000.0,False,False,Second-Hand Dwelling house /Apartment,,2023,2023Q3,D15,12.483708170000067,False
2019-01-29,"24 GORT NA GREINE, CARNAMUGGAGH UPPER, LETTERKENNY",Donegal,,51000.0,False,False,Second-Hand Dwelling house /Apartment,,2019,2019Q1,,10.839600519357369,False
2020-07-31,"6 HOLYWELL GLEN, SWORDS, DUBLIN",Dublin,,262000.0,False,False,Second-Hand Dwelling house /Apartment,,2020,2020Q3,,12.476103599529843,False
2012-06-15,"Maperath, Kells",Meath,,10000.0,True,False,Second-Hand Dwelling house /Apartment,,2012,2012Q2,,9.210440366976517,True
2012-11-26,"5 Barnwell Avenue, Hansfield",Dublin,,119950.0,False,True,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,2012,2012Q4,,11.694838605040093,False
2017-12-15,"27 WATERVILLE TCE, BLANCH, DUBLIN 15",Dublin,,240000.0,False,False,Second-Hand Dwelling house /Apartment,,2017,2017Q4,,12.388398368982115,False
2016-06-02,"16 SCEILG ARD, HEADFORD RD, GALWAY",Galway,,226000.0,False,False,Second-Hand Dwelling house /Apartment,,2016,2016Q2,,12.328294703023394,False
2025-02-28,"74 LEALAND RD, CLONDALKIN, DUBLIN 22",Dublin,D22H588,300000.0,False,False,Second-Hand Dwelling house /Apartment,,2025,2025Q1,D22,12.611541086966115,False
2022-08-04,"17 HILLSIDE, PARKMORE, ROSCREA",Tipperary,E53DP04,275000.0,False,False,Second-Hand Dwelling house /Apartment,,2022,2022Q3,E53,12.524530013005734,False
2023-06-14,"NO 8 THE ORCHARDS, TULLAGHAN, CO LEITRIM",Leitrim,F91TX6R,140500.0,False,False,Second-Hand Dwelling house /Apartment,,2023,2023Q2,F91,11.852969885168331,False
2021-11-15,"45 GATE LODGE, CASTLE RD, BLACKROCK",Cork,T12W7XV,240000.0,False,False,Second-Hand Dwelling house /Apartment,,2021,2021Q4,T12,12.388398368982115,False
2022-09-08,"BASKIN, DRUMRANEY, ATHLONE RD",Westmeath,N37E766,285000.0,False,False,Second-Hand Dwelling house /Apartment,,2022,2022Q3,N37,12.560247968016562,False
2010-08-13,"14 Capella Court, Newbridge",Kildare,,125000.0,False,True,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,2010,2010Q3,,11.736077016252437,False
2010-12-16,"20 Straffan Gate, Straffan",Kildare,,280969.0,False,True,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,2010,2010Q4,,12.546003181050624,False
2021-02-04,"Mixed use development, at Swiss Cottage, Santry",Dublin,,38094573.37,False,True,New Dwelling house /Apartment,,2021,2021Q1,,17.4555824249695,True
2019-10-18,"14 PRIORY DR EDENGATE, DELGANY, WICKLOW",Wicklow,,418000.0,False,False,Second-Hand Dwelling house /Apartment,,2019,2019Q4,,12.94323910384853,False
2020-05-27,"NURSERY CROSS, COLLON, LOUTH",Louth,,240000.0,True,False,Second-Hand Dwelling house /Apartment,,2020,2020Q2,,12.388398368982115,False
2024-09-23,"22 the Groves, Harpers Creek, Glounthaune",Cork,,374449.0,False,True,New Dwelling house /Apartment,,2024,2024Q3,,12.833213561677512,False
2020-01-29,"10 MEADOW PARK CLOSE, BALLYVOLANE, CORK",Cork,,237000.0,False,False,Second-Hand Dwelling house /Apartment,,2020,2020Q1,,12.37581963951765,False
2024-09-11,"201 Newtown Meadows, Castletroy",Limerick,,328193.83,False,True,New Dwelling house /Apartment,,2024,2024Q3,,12.70136270492417,False
2016-10-07,"29 HILLTOP APARTMENTS, YOUGHAL, CO CORK",Cork,,51000.0,False,False,Second-Hand Dwelling house /Apartment,,2016,2016Q4,,10.839600519357369,False
2024-08-28,"3 COLLEGE ST, CAVAN, CAVAN",Cavan,H12YW97,60000.0,False,False,Second-Hand Dwelling house /Apartment,,2024,2024Q3,H12,11.002116507732017,False
2025-12-17,"20 MAPLE WOODS CRESCENT, BALLINACURRA, MIDLETON",Cork,P25N9E5,365638.76,False,True,New Dwelling house /Apartment,,2025,2025Q4,P25,12.809403865384212,False
2019-12-18,"BELMONT LODGE, CASTLECONNELL, LIMERICK",Limerick,,50000.0,True,False,Second-Hand Dwelling house /Apartment,,2019,2019Q4,,10.819798284210286,False
2022-08-22,"52 THE CROSS OF NEWTOWN, BALLYROAN, CO LAOIS",Laois,R32P3Y5,255000.0,False,False,Second-Hand Dwelling house /Apartment,,2022,2022Q3,R32,12.449022745701502,False
2021-02-12,"CATRON BEG, TIBOHINE, FRENCHPARK",Roscommon,,260000.0,False,False,Second-Hand Dwelling house /Apartment,,2021,2021Q1,,12.468440756144114,False
2025-12-01,"62 HARBOUR COTTAGES, CARLINGFORD, LOUTH",Louth,A91TK23,350000.0,False,False,Second-Hand Dwelling house /Apartment,,2025,2025Q4,A91,12.765691290604371,False
2018-03-06,"29 EARLSFORT VALE, LUCAN, DUBLIN",Dublin,,300000.0,False,False,Second-Hand Dwelling house /Apartment,,2018,2018Q1,,12.611541086966115,False
2022-08-05,"9 Monamore, Lodge Road, Westport",Mayo,,312775.0,False,True,New Dwelling house /Apartment,,2022,2022Q3,,12.653242558366966,False
2024-12-16,"BALLINLEAGUE, VENTRY, TRALEE",Kerry,V92KP46,377500.0,False,False,Second-Hand Dwelling house /Apartment,,2024,2024Q4,V92,12.84132849667433,False
2017-11-21,"19 CARRICKFOYLE TERRACE, KILMAINHAM, DUBLIN 8",Dublin,,260000.0,False,False,Second-Hand Dwelling house /Apartment,,2017,2017Q4,,12.468440756144114,False
2013-01-31,"32 oriel apt, dublin Road, Dundalk",Louth,,115000.0,False,False,Second-Hand Dwelling house /Apartment,,2013,2013Q1,,11.652696102959753,False
2018-11-27,"FOXGROVE, TAY ROAD, COBH",Cork,,250000.0,False,False,Second-Hand Dwelling house /Apartment,,2018,2018Q4,,12.429220196836383,False
2023-11-28,"GORTACUR, MOUNTBOLUS, TULLAMORE",Offaly,R35EK25,100000.0,False,False,Second-Hand Dwelling house /Apartment,,2023,2023Q4,R35,11.51293546492023,False
2018-11-22,"7 BELMONT VILLAS, DUBLIN 4, DUBLIN",Dublin,,920000.0,False,False,Second-Hand Dwelling house /Apartment,,2018,2018Q4,,13.732130035981154,False
2019-11-01,"17 COIRCEOG, FIDDOWN, PILTOWN",Kilkenny,,135000.0,False,False,Second-Hand Dwelling house /Apartment,,2019,2019Q4,,11.813037464800539,False
2024-07-03,"68 Summerseat Way, Clonee",Meath,,396475.0,False,True,New Dwelling house /Apartment,,2024,2024Q3,,12.890370788590747,False
2024-12-06,"ROSSANAGH, RATHNEW, WICKLOW",Wicklow,,1675000.0,False,False,Second-Hand Dwelling house /Apartment,,2024,2024Q4,,14.331324320256051,True
2014-12-01,"27 EMMET PLACE, CARNEW",Wicklow,,60000.0,False,False,Second-Hand Dwelling house /Apartment,,2014,2014Q4,,11.002116507732017,False
2024-03-06,"19 EATON TERRACE, EATON DR, RATHCOOLE",Dublin,D24K2AV,265000.0,False,False,Second-Hand Dwelling house /Apartment,,2024,2024Q1,D24,12.487488878546145,False
2026-03-06,"CLAR AOIBHINN, CLAREMORRIS, CO MAYO",Mayo,F12N504,266000.0,False,False,Second-Hand Dwelling house /Apartment,,2026,2026Q1,F12,12.491255347155265,False
